DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
Urban Renewal Authority of Dacono - Dacono II Urban Renewal Plan Area,66594/2,Weld,0,1996883
Ute Pass Regional Health Service District,65329/1,Douglas,4.001,8506990
Ute Pass Regional Health Service District,65329/1,Park,4.001,45756415
Ute Pass Regional Health Service District,65329/1,Teller,4.001,428462822
Ute Pass Water District,67711/1,La Plata,10,7509080
Ute Water Conservancy District,39043/1,Mesa,0,2331310670
VDW Metropolitan District No. 1,65132/1,Larimer,0,19
VDW Metropolitan District No. 2,65133/1,Larimer,36.419,30304465
VDW Metropolitan District No. 3,65134/1,Larimer,30.864,12139301
Vail,19038/1,Eagle,4.722,1673311270
Vail Park & Recreation District,19032/1,Eagle,4.291,1707164350
Vail Reinvestment Authority - Lionshead TIF,65218/2,Eagle,0,156278010
Vail Square Metropolitan District No. 1,65508/1,Eagle,0,200
Vail Square Metropolitan District No. 2,65509/1,Eagle,24,19514860
Vail Square Metropolitan District No. 3,65510/1,Eagle,15.797,13810140
Valagua Metropolitan District,65189/1,Eagle,71.145,11063110
Valentia Court Metropolitan District,65917/1,Arapahoe,63.68,6839247
Valley Club Pointe Metropolitan District,65313/1,Arapahoe,55,11522466
Valley Metropolitan Recreation District,36012/1,Las Animas,2.875,14525426
Valley RE-1 School District,38900/1,Logan,35.399,273841049
Valley Sanitation District,64148/1,Arapahoe,2.288,117395432
Valley Sanitation District,64148/1,Denver,2.288,27756580
Valley Sanitation District - Bond,64148/2,Arapahoe,0.831,864914
Valley Sanitation District - Bond,64148/2,Denver,0,0
Valley View Metropolitan District No. 1,67941/1,Douglas,0,1830
Valley View Metropolitan District No. 2,67942/1,Douglas,0,3350
Valley View Metropolitan District No. 3,67943/1,Douglas,0,730
Valley Water District,30085/1,Jefferson,0,333522763
Valley at Winter Park Water District,25036/1,Grand,0,4480230
Van Den Berg Metropolitan District,65224/1,La Plata,0,663820
Vance Street Metropolitan District No. 1,65059/1,Jefferson,0,11270
Vance Street Metropolitan District No. 2,65060/1,Jefferson,0,147
Vauxmont Metropolitan District,65265/1,Jefferson,89.745,106799817
Velocity Metropolitan District No. 1,65990/1,Adams,46.807,133030
Velocity Metropolitan District No. 2,65991/1,Adams,60.147,6044680
Velocity Metropolitan District No. 3,65992/1,Adams,54.777,51126930
Velocity Metropolitan District No. 3 - Bond,65992/2,Adams,53.703,520
Velocity Metropolitan District No. 4,65993/1,Adams,42.962,10480990
Velocity Metropolitan District No. 5,65994/1,Adams,42.91,163780
Velocity Metropolitan District No. 5 - Bond,65994/2,Adams,37.547,759340
Velocity Metropolitan District No. 6,65995/1,Adams,42.962,30090900
Velocity Metropolitan District No. 7,65996/1,Adams,38.661,346190
Velocity Metropolitan District No. 8,65997/1,Adams,38.666,20126620
Velocity Metropolitan District No. 9,65998/1,Adams,60.147,4237670
Ventana Metropolitan District,65555/1,El Paso,63.026,13740370
Vermilion Creek Metropolitan District,65775/1,Arapahoe,64.443,7109902
Vermilion Creek Metropolitan District No. 2,68118/1,Arapahoe,64.443,325116
Vermilion Creek Metropolitan District No. 3,68119/1,Arapahoe,64.443,351753
Verve Metropolitan District No. 1,66482/1,Broomfield,60.833,601740
Verve Metropolitan District No. 1,66482/1,Jefferson,60.833,30159905
Verve Metropolitan District No. 2,66483/1,Jefferson,0,189
Verve Metropolitan District No. 3,66484/1,Jefferson,0,189
Verve Metropolitan District No. 4,66485/1,Jefferson,0,189
Victor,60012/1,Teller,13.828,6661570
Vilas,05019/1,Baca,23.775,158743
Vilas Cemetery District,05017/1,Baca,0.99,7611773
Vilas Metropolitan Recreation District,05018/1,Baca,2.008,6808432
Vilas RE-5 School District,05903/1,Baca,27.11,6859358
Villa Bella Metropolitan District No. 1,67471/1,Pueblo,64.38,30
Villa Bella Metropolitan District No. 2,67472/1,Pueblo,64.443,254590
Villa Bella Metropolitan District No. 3,67473/1,Pueblo,64.443,67020
Village Center Metropolitan District,65324/1,El Paso,50,14396130
Village Center Outer Ring Subdistrict,67108/1,Arapahoe,0,130700862
Village East Community Metropolitan District,66684/1,Weld,45.623,8097300
Village East Metropolitan District No. 1,66123/1,Weld,45.889,186820
Village East Metropolitan District No. 2,66124/1,Weld,49.41,3907470
Village East Metropolitan District No. 3,66125/1,Weld,32,5595170
Village East Metropolitan District No. 4,67671/1,Weld,45.889,1270980
Village East Metropolitan District No. 5,67672/1,Weld,45.889,30
Village Metropolitan District,19061/1,Eagle,16.65,31702270
Village at Dry Creek Metropolitan District No. 1,66411/1,Adams,0,270
Village at Dry Creek Metropolitan District No. 2,66412/1,Adams,12.5,26128690
Village at Dry Creek Metropolitan District No. 3,66413/1,Adams,12.137,9498520
Village at Dry Creek Metropolitan District No. 4,66414/1,Adams,12.5,2660
Village at North Creek Metropolitan District,66052/1,Adams,0,0
Village at North Creek Metropolitan District,67239/1,Adams,60,500
Village at SouthGate Metropolitan District,66579/1,Adams,63.051,9953500
Village at Thorncreek Metropolitan District,66215/1,Adams,0,0
Village at Winter Park Resort Metropolitan District No. 1,65568/1,Grand,0,379950
Village at Winter Park Resort Metropolitan District No. 2,65569/1,Grand,30,10408030
Village at Winter Park Rsrt. Metro. Dist,65570/1,Grand,29.624,3094660
Village on the Green Metropolitan District No. 1,66420/1,Douglas,49.423,3475820
Villages At Castle Rock Metro No. 4,18048/1,Douglas,5.188,1522750
Villages At Castle Rock Metropolitan District No. 6,18050/1,Douglas,75.286,58885660
Villages At Castle Rock Metropolitan District No. 7,18051/1,Douglas,0,37249830
Villages At Castle Rock Metropolitan District No. 9,18079/1,Douglas,45.111,14510
Villages at Johnstown Metropolitan District No. 1,66929/1,Larimer,10.74,135
Villages at Johnstown Metropolitan District No. 2,66930/1,Larimer,10.742,416
Villages at Johnstown Metropolitan District No. 3,66931/1,Larimer,57.08,9233401
Villages at Johnstown Metropolitan District No. 4,66932/1,Larimer,10.74,956435
Villages at Johnstown Metropolitan District No. 5,66933/1,Larimer,10.74,509604
Villages at Johnstown Metropolitan District No. 7,66935/1,Larimer,56.138,3564762
Villages at Johnstown Metropolitan District No. 8,66936/1,Larimer,0,5398888
Villas Metropolitan District,66721/1,Douglas,76.767,6991200
Villas at Eastlake Reservoir Metropolitan District,66137/1,Adams,39.4,4612360
Vincent Village Metropolitan District,67349/1,Weld,28.851,2686938
Vineyard Metropolitan District,66339/1,El Paso,0,133840
Vintage Reserve Metropolitan District,65231/1,Jefferson,17,16055646
Vista Commons Metropolitan District No. 1,67311/1,Weld,0,830
Vista Commons Metropolitan District No. 2,67312/1,Weld,10.74,10560
Vista Commons Metropolitan District No. 3,67313/1,Weld,10.74,11580
Vista Commons Metropolitan District No. 4,67314/1,Weld,60.483,765960
Vista Meadows Metropolitan District,67725/1,Weld,75.577,1181620
Vista Ridge Metropolitan District,62123/1,Weld,47,122359120
Vista West Metropolitan District,67597/1,Weld,57.794,981570
Vistas at Saddleback Metropolitan District No. 1,67951/1,Weld,0,224
Vistas at Saddleback Metropolitan District No. 2,67952/1,Weld,0,118527
Vistas at Saddleback Metropolitan District No. 3,67953/1,Weld,0,105375
Vistas at West Mesa Metropolitan District,67560/1,El Paso,77.84,2504440
Vona,32023/1,Kit Carson,14.669,555324
Vona Cemetery District,32021/1,Kit Carson,0.836,15147291
Vona Fire Protection District,32022/1,Kit Carson,4.391,13766900
W-Y Ground Water Management District,64149/1,Washington,0.345,39267918
W-Y Ground Water Management District,64149/1,Yuma,0.345,128902470
W/J Metropolitan District,65328/1,Pitkin,55.791,7360810
Wagons West Metropolitan District,67049/1,El Paso,57.573,3377600
Wake Park and Recreation District,67930/1,Weld,60,51216040
Walden,29006/1,Jackson,9.439,9178510
Walden Metropolitan District No. 1,66536/1,El Paso,0,15370
Walden Metropolitan District No. 2,66537/1,El Paso,20.049,5266430
Walnut Hills General Improvement District,03125/1,Arapahoe,2.404,46441882
Walnut Peacemaker Metropolitan District No. 1,67041/1,Arapahoe,70,301437
Walnut Peacemaker Metropolitan District No. 2,67042/1,Arapahoe,0,18297
Walnut Peacemaker Metropolitan District No. 3,67043/1,Arapahoe,0,18297
Walnut Peacemaker Metropolitan District No. 4,67044/1,Arapahoe,0,18297
Walnut Peacemaker Metropolitan District No. 5,67045/1,Arapahoe,0,18297
Walsenburg,28010/1,Huerfano,9.542,30873852
Walsenburg General Improvement District,28018/1,Huerfano,0,0
Walsenburg Urban Renewal Authority,66631/1,Huerfano,0,0
Walsh,05023/1,Baca,34.751,2043044
Walsh Cemetery District,05020/1,Baca,1.892,8636142
Walsh Hospital District,05021/1,Baca,40.074,35538421
Walsh Metropolitan Recreation District,05022/1,Baca,2.247,25732255
Walsh RE-1 School District,05900/1,Baca,43.07,27167120
Ward,07042/1,Boulder,3.937,2390820
Ward TOD Metropolitan District No. 1,66356/1,Jefferson,86.295,5866137
Ward TOD Metropolitan District No. 2,66357/1,Jefferson,0,31766
Ward TOD Metropolitan District No. 3,66358/1,Jefferson,0,31766
Washington 25 Metropolitan District No. 1,66925/1,Adams,50,2720
Washington 25 Metropolitan District No. 2,66926/1,Adams,50,40
Washington 25 Metropolitan District No. 3,66927/1,Adams,0,40
Washington 25 Metropolitan District No. 4,66928/1,Adams,0,40
Washington County,61008/1,Washington,30.251,189946890
Washington County Conservation District,61014/1,Washington,0,0
Washington County Pest Control District,61012/1,Washington,1.75,48218152
Water Valley Metropolitan District No. 1,62102/1,Weld,37.911,46382230
Water Valley Metropolitan District No. 2,62103/1,Weld,41.079,91153710
Water Valley Metropolitan District No. 3,67738/1,Weld,43.013,7098280
Waterbury Metropolitan District No. 1,65452/1,El Paso,0,117620
Waterbury Metropolitan District No. 1 - Debt Service,65452/2,El Paso,0,203270
Waterfall Metropolitan District No. 1,66053/1,Larimer,48.282,8858975
Waterfall Metropolitan District No. 2,66054/1,Larimer,0,0
Waterfield Metropolitan District No. 1,67105/1,Larimer,0,0
Waterfield Metropolitan District No. 2,67106/1,Larimer,0,0
Waterfield Metropolitan District No. 3,67107/1,Larimer,0,0
Waterfront Metropolitan District,65230/1,Larimer,26.762,11508193
Waterfront at Foster Lake Metropolitan District No. 1,65944/1,Weld,40,433010
Waterfront at Foster Lake Metropolitan District No. 2,65945/1,Weld,69.463,774840
Waterfront at Foster Lake Metropolitan District No. 3,65946/1,Weld,40,158380
Waters' Edge Metropolitan District No. 1,67113/1,Larimer,50,14
Waters' Edge Metropolitan District No. 2,67114/1,Larimer,50.455,13248275
Waters' Edge Metropolitan District No. 3,67115/1,Larimer,0,10
Waters' Edge Metropolitan District No. 4,67116/1,Larimer,0,10
Waters' Edge Metropolitan District No. 5,67117/1,Larimer,0,10
Waterstone Metropolitan District No. 1,65733/1,Arapahoe,75.006,14025080
Waterstone Metropolitan District No. 2,65734/1,Arapahoe,0,38838
Waterview I Metropolitan District,65497/1,El Paso,40,22100630
Waterview II Metropolitan District,66068/1,El Paso,82.909,11130370
Waterview North Metropolitan District No. 1,68030/1,El Paso,77.84,1162440
Waterview North Metropolitan District No. 2,68031/1,El Paso,11.12,623600
Watkins Road Holdings Metropolitan District No. 1,67021/1,Arapahoe,70,9312789
Watkins Road Holdings Metropolitan District No. 10,67030/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 11,67031/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 12,67032/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 13,67033/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 14,67034/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 15,67035/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 16,67036/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 17,67037/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 18,67038/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 19,67039/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 2,67022/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 20,67040/1,Arapahoe,0,61164
Watkins Road Holdings Metropolitan District No. 3,67023/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 4,67024/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 5,67025/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 6,67026/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 7,67027/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 8,67028/1,Arapahoe,0,16786
Watkins Road Holdings Metropolitan District No. 9,67029/1,Arapahoe,0,16786
Weed Control,02001/14,Alamosa,0,0
Weed Control,37008/10,Lincoln,0,0
Weems Neighborhood Metropolitan District,66761/1,Boulder,63.265,6184763
Weld County,62056/1,Weld,15.956,19722748799
Weld County Pioneer Community Law Enforcement Authority,65721/1,Weld,7,721130
Weld County RE-8 School District,62912/1,Broomfield,18.198,1883110
Weld County RE-8 School District,62912/1,Weld,18.198,1261064637
Weldon Valley RE-20(J) School District,64939/1,Morgan,39.141,35032120
Weldon Valley RE-20(J) School District,64939/1,Weld,39.141,82930
Well Augmentation Subdistrict of Central Colorado Water Conservancy Dist (Dissolved. Use LGID 65372),64041/2,Adams,0,0
Well Augmentation Subdistrict of Central Colorado Water Conservancy Dist (Dissolved. Use LGID 65372),64041/2,Morgan,0,0
Well Augmentation Subdistrict of Central Colorado Water Conservancy District,65372/1,Adams,9.152,39739500
Well Augmentation Subdistrict of Central Colorado Water Conservancy District,65372/1,Morgan,9.152,9703170
Well Augmentation Subdistrict of Central Colorado Water Conservancy District,65372/1,Weld,9.152,466593862
Wellington,35047/1,Larimer,12.439,175812662
Wellington Fire Protection District,35046/1,Larimer,14.187,262840186
Welty Ridge Metropolitan District No. 1,66031/1,Weld,0,2420
Welty Ridge Metropolitan District No. 2,66032/1,Weld,10.72,138450
West Adams Conservation District,64270/1,Broomfield,0,2103920
West Adams Conservation District,64270/1,Weld,0,542659624
West Arapahoe Conservation District,03080/1,Arapahoe,0,10103128082
West Boyd Metropolitan District No. 1,67229/1,Larimer,0,41
West Boyd Metropolitan District No. 2,67230/1,Larimer,28.127,44010
West Boyd Metropolitan District No. 3,67231/1,Larimer,26.816,12515
West Cheyenne Fire Protection District,09014/1,Cheyenne,1.5,44386270
West Colfax Business Improvement District,65763/1,Denver,0,0
West Custer County Hospital District,14008/1,Custer,7.908,166175705
West Custer County Hospital District,14008/1,Fremont,7.908,745274
West Custer County Library District,14009/1,Custer,1.983,166175605
West Divide Water Conservancy District,64151/1,Garfield,0.037,1035359240
West Divide Water Conservancy District,64151/1,Mesa,0.037,20758080
West Divide Water Conservancy District,64151/1,Pitkin,0.037,27392620
West Dolores County Cemetery District,17008/1,Dolores,0.345,17231000
West Douglas County Fire Protection District,18034/1,Douglas,0.057,90641720
West End RE-2 School District,43901/1,Montrose,34.585,31661805
West Fort Collins Water District,35048/1,Larimer,0,76133330
West Glenwood Springs Sanitation District,23023/1,Garfield,0.762,78476700
West Globeville Metropolitan District No. 1,66660/1,Denver,53.702,14487990
West Globeville Metropolitan District No. 2,66661/1,Denver,53.702,0
West Grand (Bond Only),64926/2,Grand,0,0
West Grand 1 J,64926/1,Eagle,25.302,1416970
West Grand 1 J,64926/1,Grand,25.302,181099556
West Grand 1 J,64926/1,Summit,25.302,16765450
West Greeley Conservation District,62058/1,Weld,0.414,6826251030
West Jefferson County Metro. District,65153/1,Jefferson,0,198995873
West Jefferson County Metropolitan District,67111/1,Jefferson,0,0
West Junction Metropolitan District No. 1,67434/1,Mesa,51.779,1723180
West Kiowa County Cemetery District,31011/1,Kiowa,0.335,4561909
West Kiowa Recreation District,31012/1,Kiowa,0.502,4561909
West Lot Metropolitan District No. 1,67093/1,Denver,7,56665890
West Lot Metropolitan District No. 2,67094/1,Denver,24,8432480
West Meadow Metropolitan District,65421/1,Grand,51.87,28040964
West Meadows Metropolitan District,30111/1,Jefferson,4.4,45520364
West Metro Fire Protection District,64243/1,Douglas,14.361,228054940
West Metro Fire Protection District,64243/1,Jefferson,13.79,6182005804
West Metro Fire Protection District - Subdistrict Bond,64243/2,Douglas,0,0
West Metro Fire Protection District - Subdistrict Bond,64243/2,Jefferson,0.571,5515771279
West Montrose Sanitation District,43016/1,Montrose,2.248,40257277
West Mountain Metropolitan District,65422/1,Grand,50,3689
West Mountain Metropolitan District No. 2,68006/1,Grand,0,2130
West Mountain Metropolitan District No. 3,68007/1,Grand,0,228080
West Mountain Metropolitan District No. 4,68008/1,Grand,0,900
West Mountain Metropolitan District No. 5,68009/1,Grand,0,2980
West Otero-Timpas Conservation District,64257/1,Otero,0,0
West Park Fire Protection District,51021/1,Pueblo,4.768,12263450
West Phillips County Cemetery District,48009/1,Phillips,2,30082230
West Point Metropolitan District,30143/1,Jefferson,31.116,44817924
West Point Metropolitan District - Park Ridge Subdistrict,67154/1,Jefferson,19.5,5183429
